Candidate ID Number,Position Title,Department,Furthest Recruiting Stage Reached,Date of Application,Application Source,Years of Experience,Candidate Type,Degree,School,Major,Degree.1,School.1,Major.1,Degree.2,School.2,Major.2,Degree.3,School.3,Major.3,Highest Degree Level,Associated School,Associated Major,Offer Decision
1363034,System Engineer,Engineering,New Application,2017-09-11,Advertisement,2,Campus,PhD,Columbia,Computer Science,Bachelors,Columbia,Mathematics,,,,,,,PhD,Columbia,Computer Science,
6292649,Associate Relationship Manager,Sales,Phone Screen,2017-02-12,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,,Bachelors,NYU,Statistics,
157311,System Engineer,Engineering,New Application,2018-08-21,Career Fair,0,Campus,Bachelors,MIT,Mathematics,,,,,,,,,,Bachelors,MIT,Mathematics,
62496,System Engineer,Engineering,Phone Screen,2018-08-04,Campus Event,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,,Bachelors,Georgia Tech,Computer Science,
6165431,Associate Relationship Manager,Sales,Phone Screen,2018-11-23,Campus Job Board,0,Campus,Masters,MIT,Economics,Bachelors,Columbia,English,,,,,,,Masters,MIT,Economics,
91296,System Engineer,Engineering,New Application,2018-09-04,Career Fair,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,,Bachelors,Columbia,Statistics,
65655,Operations Coordinator,Operations,New Application,2018-10-10,Career Fair,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,,Bachelors,NYU,Statistics,
6079082,System Engineer,Engineering,Phone Screen,2017-09-08,Campus Event,0,Campus,Bachelors,NYU,Physics,PhD,Vanderbilt,Computer Science,,,,,,,PhD,Vanderbilt,Computer Science,
4532732,System Engineer,Engineering,In-House Interview,2017-01-26,Advertisement,3,Campus,Bachelors,University of Texas,Statistics,,,,,,,,,,Bachelors,University of Texas,Statistics,
172118,System Engineer,Engineering,New Application,2018-08-15,Career Fair,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,,Bachelors,University of Washington,Computer Science,
2103956,Finance Manager,Finance,New Application,2018-03-03,Agency,8,Experienced,Bachelors,University of Texas,Economics,,,,,,,,,,Bachelors,University of Texas,Economics,
3773651,System Engineer,Engineering,New Application,2018-09-30,Campus Job Board,1,Campus,PhD,UC Berkeley,Mathematics,Bachelors,Georgia Tech,Computer Science,,,,,,,PhD,UC Berkeley,Mathematics,
198716,Operations Coordinator,Operations,New Application,2017-10-03,Advertisement,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,,Bachelors,NYU,Computer Science,
1146246,UX Designer,Product,New Application,2018-05-12,Career Fair,10,Experienced,PhD,Harvard,Statistics,Bachelors,Columbia,Computer Science,,,,,,,PhD,Harvard,Statistics,
5202177,System Engineer,Engineering,New Application,2016-01-12,Advertisement,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,,Bachelors,NYU,Mathematics,
1035251,Business Operations Manager,Operations,In-House Interview,2017-06-26,Agency,5,Experienced,PhD,Harvard,Computer Science,Masters,MIT,Computer Science,Bachelors,Columbia,Mathematics,,,,PhD,Harvard,Computer Science,
683459,Associate Relationship Manager,Sales,New Application,2018-12-22,Campus Job Board,0,Campus,Masters,UC Berkeley,Mathematics,Bachelors,MIT,Mathematics,,,,,,,Masters,UC Berkeley,Mathematics,
715127,Associate Product Manager,Product,New Application,2018-11-14,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,,Bachelors,Columbia,Statistics,
698642,System Engineer,Engineering,In-House Interview,2017-10-27,Career Fair,0,Campus,Bachelors,University of Texas,English,,,,,,,,,,Bachelors,University of Texas,English,
6312282,Operations Coordinator,Operations,New Application,2018-11-01,Website,0,Campus,Masters,Harvard,Economics,Bachelors,MIT,Management,,,,,,,Masters,Harvard,Economics,
343427,Operations Coordinator,Operations,New Application,2016-11-11,Career Fair,1,Campus,PhD,Harvard,Computer Science,Bachelors,Harvard,Computer Science,,,,,,,PhD,Harvard,Computer Science,
6237647,System Engineer,Engineering,Phone Screen,2017-09-01,Campus Event,1,Campus,Bachelors,University of Texas,Statistics,PhD,MIT,Computer Science,,,,,,,PhD,MIT,Computer Science,
2162391,System Engineer,Engineering,New Application,2017-10-19,Career Fair,1,Campus,Bachelors,MIT,Statistics,PhD,Columbia,Statistics,,,,,,,PhD,Columbia,Statistics,
505709,Financial Analyst,Finance,New Application,2018-08-02,Career Fair,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,,Bachelors,NYU,Mathematics,
170375,System Engineer,Engineering,New Application,2016-10-25,Website,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,,Bachelors,NYU,Mathematics,
6095774,Finance Manager,Finance,New Application,2018-12-04,Agency,4,Experienced,Bachelors,Harvard,Business,,,,,,,,,,Bachelors,Harvard,Business,
2839586,Associate Relationship Manager,Sales,New Application,2017-11-18,Campus Job Board,0,Campus,Masters,Georgia Tech,Political Science,Bachelors,Columbia,Economics,,,,,,,Masters,Georgia Tech,Political Science,
513827,Operations Coordinator,Operations,New Application,2016-01-27,Campus Job Board,0,Campus,Masters,NYU,Statistics,Bachelors,MIT,Statistics,Bachelors,MIT,Statistics,,,,Masters,NYU,Statistics,
1059992,System Engineer,Engineering,In-House Interview,2018-02-06,Website,0,Campus,Bachelors,Harvard,Computer Science,PhD,Vanderbilt,Computer Science,,,,,,,PhD,Vanderbilt,Computer Science,
58076,System Engineer,Engineering,New Application,2017-10-23,Campus Job Board,0,Campus,Bachelors,NYU,English,,,,,,,,,,Bachelors,NYU,English,
3285,System Engineer,Engineering,Offer Accepted,2017-12-23,Career Fair,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,,Bachelors,Columbia,Computer Science,Offer Accepted
2493347,Sr. Software Engineer,Engineering,New Application,2018-05-05,Agency,7,Experienced,Bachelors,Harvard,English,PhD,Columbia,Computer Science,,,,,,,PhD,Columbia,Computer Science,
1802202,Associate Relationship Manager,Sales,New Application,2017-09-30,Campus Job Board,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,,Bachelors,Harvard,Mathematics,
123662,Associate Relationship Manager,Sales,New Application,2017-01-02,Campus Job Board,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,,Bachelors,Columbia,Computer Science,
4066476,System Engineer,Engineering,New Application,2018-12-31,Campus Event,0,Campus,PhD,University of Texas,Physics,Masters,Vanderbilt,English,Bachelors,UC Berkeley,Mathematics,,,,PhD,University of Texas,Physics,
2844267,System Engineer,Engineering,New Application,2017-10-12,Campus Job Board,1,Campus,Bachelors,University of Texas,Statistics,Masters,Vanderbilt,Mathematics,Masters,Columbia,Statistics,,,,Masters,Vanderbilt,Mathematics,
1337762,Account Executive,Sales,New Application,2018-08-18,Advertisement,6,Experienced,Bachelors,NYU,English,,,,,,,,,,Bachelors,NYU,English,
2543901,Associate Relationship Manager,Sales,New Application,2018-01-01,Campus Job Board,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,,Bachelors,NYU,Computer Science,
1850471,System Engineer,Engineering,New Application,2016-03-15,Campus Job Board,2,Campus,Bachelors,Georgia Tech,Computer Science,PhD,Harvard,Physics,,,,,,,PhD,Harvard,Physics,
427371,IT Analyst,IT,New Application,2018-12-26,Campus Job Board,1,Campus,Masters,Columbia,Economics,Bachelors,NYU,Computer Science,,,,,,,Masters,Columbia,Economics,
1863582,Associate Relationship Manager,Sales,New Application,2018-08-25,Campus Event,0,Campus,Bachelors,Harvard,Psychology,,,,,,,,,,Bachelors,Harvard,Psychology,
1765532,System Engineer,Engineering,New Application,2016-01-19,Website,2,Campus,Bachelors,University of Texas,Computer Science,Masters,Columbia,Computer Science,PhD,Georgia Tech,Computer Science,,,,PhD,Georgia Tech,Computer Science,
6222527,Finance Manager,Finance,Phone Screen,2017-08-06,Website,7,Experienced,PhD,Columbia,Management,Bachelors,NYU,Business,,,,,,,PhD,Columbia,Management,
901172,Finance Manager,Finance,New Application,2016-11-10,Website,4,Experienced,Bachelors,MIT,Political Science,,,,,,,,,,Bachelors,MIT,Political Science,
593501,Sr. Product Manager,Product,In-House Interview,2018-07-12,Agency,7,Experienced,Bachelors,UC Berkeley,Computer Science,PhD,Columbia,Computer Science,,,,,,,PhD,Columbia,Computer Science,
178422,System Engineer,Engineering,New Application,2018-09-06,Career Fair,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,,Bachelors,Harvard,Statistics,
6141831,Business Operations Manager,Operations,Phone Screen,2017-02-27,Website,6,Experienced,Bachelors,NYU,Economics,,,,,,,,,,Bachelors,NYU,Economics,
1820687,System Engineer,Engineering,In-House Interview,2016-10-31,Campus Job Board,3,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,,Bachelors,Harvard,Computer Science,
489716,Sr. Customer Service Operations Associate,Operations,New Application,2016-06-23,Outsourced,14,Experienced,Bachelors,NYU,Economics,,,,,,,,,,Bachelors,NYU,Economics,
5240571,Associate Relationship Manager,Sales,New Application,2018-10-20,Campus Job Board,0,Campus,Bachelors,University of Texas,Business,,,,,,,,,,Bachelors,University of Texas,Business,
6100691,System Engineer,Engineering,Phone Screen,2017-01-26,Campus Job Board,2,Campus,Masters,Columbia,Statistics,Bachelors,Georgia Tech,Computer Science,Bachelors,Georgia Tech,Computer Science,,,,Masters,Columbia,Statistics,
6220892,System Engineer,Engineering,Phone Screen,2016-11-16,Career Fair,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,,Bachelors,NYU,Mathematics,
6329882,System Engineer,Engineering,Phone Screen,2018-11-11,Advertisement,0,Campus,Masters,NYU,Physics,Bachelors,Vanderbilt,Statistics,Bachelors,Vanderbilt,Statistics,,,,Masters,NYU,Physics,
311937,Finance Manager,Finance,New Application,2017-02-03,Website,5,Experienced,Bachelors,Vanderbilt,Business,Bachelors,Harvard,Business,,,,,,,Bachelors,Vanderbilt,Business,
4767941,System Engineer,Engineering,New Application,2017-11-06,Advertisement,0,Campus,Masters,NYU,Mathematics,Bachelors,Harvard,Computer Science,Bachelors,Harvard,Mathematics,,,,Masters,NYU,Mathematics,
8793,Associate Relationship Manager,Sales,New Application,2017-10-28,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,,Bachelors,Georgia Tech,Computer Science,
2610636,Associate Relationship Manager,Sales,New Application,2017-10-08,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Management,,,,,,,,,,Bachelors,Georgia Tech,Management,
76001,System Engineer,Engineering,New Application,2017-02-19,Campus Job Board,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,,Bachelors,University of Washington,Computer Science,
73690,Business Operations Manager,Operations,Offer Accepted,2017-05-04,Agency,8,Experienced,Bachelors,University of Texas,Economics,PhD,NYU,Political Science,,,,,,,PhD,NYU,Political Science,Offer Accepted
4529756,System Engineer,Engineering,New Application,2018-11-11,Career Fair,2,Campus,Bachelors,Harvard,Mathematics,PhD,Harvard,Economics,,,,,,,PhD,Harvard,Economics,
531231,System Engineer,Engineering,New Application,2017-03-14,Advertisement,1,Campus,Bachelors,Harvard,Computer Science,Masters,University of Michigan,Computer Science,Masters,University of Michigan,Statistics,,,,Masters,University of Michigan,Computer Science,
5675747,Operations Coordinator,Operations,New Application,2017-09-25,Campus Job Board,0,Campus,Bachelors,Harvard,Economics,Bachelors,University of Washington,Business,,,,,,,Bachelors,Harvard,Economics,
193118,Associate Relationship Manager,Sales,New Application,2018-11-24,Campus Job Board,0,Campus,Bachelors,UC Berkeley,Computer Science,,,,,,,,,,Bachelors,UC Berkeley,Computer Science,
325734,Associate Relationship Manager,Sales,New Application,2018-09-22,Website,1,Campus,Masters,Harvard,Economics,Bachelors,Harvard,English,,,,,,,Masters,Harvard,Economics,
102984,System Engineer,Engineering,In-House Interview,2016-11-16,Campus Event,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,,Bachelors,Harvard,Statistics,
6329166,Financial Analyst,Finance,New Application,2018-12-17,Campus Job Board,0,Campus,Bachelors,NYU,Sociology,,,,,,,,,,Bachelors,NYU,Sociology,
109511,Associate Relationship Manager,Sales,New Application,2017-10-24,Campus Job Board,0,Campus,Bachelors,University of Texas,Sociology,,,,,,,,,,Bachelors,University of Texas,Sociology,
359642,Associate Relationship Manager,Sales,In-House Interview,2018-12-23,Advertisement,3,Campus,Bachelors,Columbia,Statistics,Bachelors,MIT,Computer Science,,,,,,,Bachelors,Columbia,Statistics,
2107959,Associate Product Manager,Product,New Application,2018-09-04,Campus Job Board,1,Campus,PhD,Harvard,Statistics,Bachelors,NYU,Mathematics,,,,,,,PhD,Harvard,Statistics,
6142574,Associate Relationship Manager,Sales,Phone Screen,2016-03-05,Campus Job Board,0,Campus,Bachelors,University of Washington,Sociology,Bachelors,MIT,Statistics,,,,,,,Bachelors,University of Washington,Sociology,
22166,System Engineer,Engineering,New Application,2016-02-02,Career Fair,0,Campus,Bachelors,University of Michigan,Statistics,,,,,,,,,,Bachelors,University of Michigan,Statistics,
661052,Financial Analyst,Finance,New Application,2018-10-06,Website,0,Campus,Bachelors,University of Washington,Computer Science,Masters,UC Berkeley,Statistics,Masters,MIT,Mathematics,,,,Masters,UC Berkeley,Statistics,
5240,System Engineer,Engineering,New Application,2016-01-04,Advertisement,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,,Bachelors,MIT,Computer Science,
2531,System Engineer,Engineering,Offer Sent,2018-12-31,Campus Event,1,Campus,Bachelors,Georgia Tech,Computer Science,PhD,Harvard,English,,,,,,,PhD,Harvard,English,Offer Response Pending
197465,Operations Coordinator,Operations,New Application,2016-10-18,Campus Job Board,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,,Bachelors,MIT,Computer Science,
629807,Operations Coordinator,Operations,New Application,2016-12-24,Website,0,Campus,Masters,Vanderbilt,Economics,Bachelors,Vanderbilt,Economics,,,,,,,Masters,Vanderbilt,Economics,
6291987,Associate Relationship Manager,Sales,Phone Screen,2017-01-31,Advertisement,0,Campus,Bachelors,MIT,Business,,,,,,,,,,Bachelors,MIT,Business,
1451859,System Engineer,Engineering,New Application,2018-09-03,Career Fair,0,Campus,Bachelors,Vanderbilt,Computer Science,,,,,,,,,,Bachelors,Vanderbilt,Computer Science,
3447947,Associate Relationship Manager,Sales,New Application,2017-12-05,Career Fair,0,Campus,Bachelors,University of Washington,Mathematics,,,,,,,,,,Bachelors,University of Washington,Mathematics,
214691,Associate Relationship Manager,Sales,New Application,2017-11-15,Campus Job Board,0,Campus,Bachelors,Vanderbilt,Statistics,,,,,,,,,,Bachelors,Vanderbilt,Statistics,
4925021,Business Operations Manager,Operations,New Application,2018-05-13,Advertisement,7,Experienced,Bachelors,Harvard,English,,,,,,,,,,Bachelors,Harvard,English,
1937526,IT Analyst,IT,New Application,2018-02-06,Advertisement,0,Campus,Bachelors,University of Michigan,Economics,Bachelors,Harvard,Computer Science,,,,,,,Bachelors,University of Michigan,Economics,
105512,System Engineer,Engineering,New Application,2018-02-05,Campus Job Board,3,Campus,Bachelors,University of Michigan,Mathematics,Masters,Harvard,Mathematics,Masters,Vanderbilt,Mathematics,,,,Masters,Harvard,Mathematics,
5625782,Associate Product Manager,Product,In-House Interview,2018-03-10,Campus Job Board,0,Campus,Bachelors,Harvard,Sociology,PhD,University of Texas,Business,,,,,,,PhD,University of Texas,Business,
105441,System Engineer,Engineering,New Application,2018-01-03,Campus Job Board,2,Campus,Bachelors,University of Texas,Statistics,Masters,MIT,Mathematics,PhD,University of Texas,Economics,,,,PhD,University of Texas,Economics,
3727734,Associate Relationship Manager,Sales,New Application,2017-10-22,Campus Job Board,0,Campus,Bachelors,MIT,Psychology,,,,,,,,,,Bachelors,MIT,Psychology,
550887,Account Executive,Sales,New Application,2018-07-20,Website,6,Experienced,Bachelors,University of Texas,Economics,Bachelors,Harvard,Economics,,,,,,,Bachelors,University of Texas,Economics,
5157566,System Engineer,Engineering,New Application,2018-12-07,Campus Job Board,0,Campus,Masters,NYU,Mathematics,Bachelors,Harvard,Computer Science,Bachelors,Harvard,Mathematics,,,,Masters,NYU,Mathematics,
62150,Associate Product Manager,Product,New Application,2017-10-20,Career Fair,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,,Bachelors,Harvard,Statistics,
1528472,System Engineer,Engineering,New Application,2017-11-26,Website,1,Campus,Masters,University of Michigan,Statistics,Bachelors,Vanderbilt,Mathematics,Bachelors,Vanderbilt,Statistics,,,,Masters,University of Michigan,Statistics,
6255906,System Engineer,Engineering,Phone Screen,2016-11-13,Website,2,Campus,PhD,Vanderbilt,Statistics,Bachelors,MIT,Computer Science,,,,,,,PhD,Vanderbilt,Statistics,
36918,System Engineer,Engineering,New Application,2017-10-28,Campus Job Board,0,Campus,Bachelors,University of Texas,Mathematics,,,,,,,,,,Bachelors,University of Texas,Mathematics,
2158334,Finance Manager,Finance,New Application,2016-03-22,Advertisement,7,Experienced,Bachelors,UC Berkeley,Economics,Bachelors,Vanderbilt,Economics,,,,,,,Bachelors,UC Berkeley,Economics,
1210772,Associate Relationship Manager,Sales,New Application,2016-12-08,Career Fair,1,Campus,Bachelors,Harvard,Computer Science,Masters,Harvard,Computer Science,Masters,Harvard,Computer Science,,,,Masters,Harvard,Computer Science,
1465031,System Engineer,Engineering,New Application,2016-09-30,Career Fair,1,Campus,Masters,NYU,English,Bachelors,University of Texas,Statistics,Bachelors,University of Texas,Computer Science,,,,Masters,NYU,English,
783317,Associate Product Manager,Product,New Application,2017-12-22,Campus Job Board,0,Campus,Bachelors,Harvard,Political Science,,,,,,,,,,Bachelors,Harvard,Political Science,
16326,System Engineer,Engineering,New Application,2016-12-01,Career Fair,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,,Bachelors,NYU,Computer Science,
1318976,Associate Relationship Manager,Sales,New Application,2018-08-25,Campus Event,0,Campus,Masters,Columbia,Computer Science,Bachelors,University of Michigan,Physics,,,,,,,Masters,Columbia,Computer Science,
6230837,Associate Relationship Manager,Sales,Phone Screen,2016-10-25,Career Fair,0,Campus,Bachelors,University of Michigan,English,,,,,,,,,,Bachelors,University of Michigan,English,
5391,Operations Coordinator,Operations,New Application,2016-03-20,Advertisement,0,Campus,Bachelors,MIT,English,,,,,,,,,,Bachelors,MIT,English,
42532,Sr. Product Manager,Product,New Application,2018-04-18,Agency,10,Experienced,Bachelors,University of Texas,Computer Science,PhD,UC Berkeley,Mathematics,,,,,,,PhD,UC Berkeley,Mathematics,Offer Declined
3940791,Associate Relationship Manager,Sales,New Application,2018-01-13,Campus Job Board,2,Campus,Bachelors,Georgia Tech,Statistics,Masters,Georgia Tech,Physics,Masters,Harvard,Mathematics,,,,Masters,Georgia Tech,Physics,
4553592,Associate Product Manager,Product,New Application,2016-11-24,Campus Job Board,0,Campus,Bachelors,UC Berkeley,English,,,,,,,,,,Bachelors,UC Berkeley,English,
568086,Business Operations Manager,Operations,In-House Interview,2018-07-06,Agency,7,Experienced,Bachelors,NYU,Statistics,Bachelors,Harvard,Economics,,,,,,,Bachelors,NYU,Statistics,
1090671,IT Analyst,IT,New Application,2018-08-22,Campus Event,0,Campus,PhD,Georgia Tech,Physics,Bachelors,Columbia,Statistics,,,,,,,PhD,Georgia Tech,Physics,
2471532,System Engineer,Engineering,In-House Interview,2016-09-01,Campus Event,2,Campus,Bachelors,University of Texas,Physics,,,,,,,,,,Bachelors,University of Texas,Physics,Offer Accepted
1760066,Operations Generalist,Operations,New Application,2018-10-12,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,Bachelors,Harvard,Statistics,,,,,,,Bachelors,Columbia,Statistics,
360359,Operations Coordinator,Operations,New Application,2017-10-27,Career Fair,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,,Bachelors,Harvard,Computer Science,
